Filename,Operation,Execution Time
/Users/jessicalongstreth/chanelbleu.jpg,0,0.1639 seconds
/Users/jessicalongstreth/chanelbleu.jpg,1,0.0037 seconds
/Users/jessicalongstreth/Downloads/house_price.csv,0,0.0046 seconds
/Users/jessicalongstreth/Downloads/house_price.csv,1,0.0013 seconds
/Users/jessicalongstreth/most-installed-apps.xlsx,0,0.0041 seconds
/Users/jessicalongstreth/most-installed-apps.xlsx,1,0.0007 seconds
/Users/jessicalongstreth/agoodresume.pdf,0,0.198 seconds
/Users/jessicalongstreth/agoodresume.pdf,1,0.2195 seconds
/Users/jessicalongstreth/Downloads/2024 dessert drop in flyer.pdf,0,0.0312 seconds
/Users/jessicalongstreth/Downloads/2024 dessert drop in flyer.pdf,1,0.0768 seconds
/Users/jessicalongstreth/Downloads/agoodresume.pdf,0,0.172 seconds
/Users/jessicalongstreth/Downloads/agoodresume.pdf,1,0.0042 seconds
/Users/jessicalongstreth/bannerlinkedin.png,0,0.195 seconds
/Users/jessicalongstreth/bannerlinkedin.png,1,0.0193 seconds
/Users/jessicalongstreth/agoodresume.pdf,0,0.2038 seconds
/Users/jessicalongstreth/agoodresume.pdf,1,0.0037 seconds
/Users/jessicalongstreth/bannerlinkedin.png,1,0.2131 seconds
/Users/jessicalongstreth/collectionfragrances.webp,0,0.1407 seconds
/Users/jessicalongstreth/collectionfragrances.webp,1,0.0049 seconds
/Users/jessicalongstreth/collectionfragrances.webp,0,0.1695 seconds
/Users/jessicalongstreth/collectionfragrances.webp,1,0.0055 seconds
/Users/jessicalongstreth/mfksatinmood.webp,0,0.1554 seconds
/Users/jessicalongstreth/mfksatinmood.webp,1,0.0015 seconds
/Users/jessicalongstreth/replicabubblebath.jpg,0,0.1892 seconds
/Users/jessicalongstreth/replicabubblebath.jpg,1,0.0023 seconds
/Users/jessicalongstreth/chanelbleu.jpg,0,0.4255 seconds
/Users/jessicalongstreth/chanelbleu.jpg,1,0.0067 seconds
/Users/jessicalongstreth/tomfordblackorchid.jpg,0,0.1589 seconds
/Users/jessicalongstreth/tomfordblackorchid.jpg,1,0.1668 seconds
